;0;1;2;3
0;C;01111110000001010000010101;Creating SARIMAX;
1;F1;01111110000001010000010101;Before fitting;
2;F2;01111110000001010000010101;After fitting;3.5247446999999994
3;P1;01111110000001010000010101;Done;
4;P2;01111110000001010000010101;Done;
5;C;10000111100001001110011100;Creating SARIMAX;
6;F1;10000111100001001110011100;Before fitting;
7;F2;10000111100001001110011100;After fitting;2.696601000000001
8;P1;10000111100001001110011100;Done;
9;P2;10000111100001001110011100;Done;
10;C;00000101010010011011111110;Creating SARIMAX;
11;F1;00000101010010011011111110;Before fitting;
12;F2;00000101010010011011111110;After fitting;0.19288589999999317
13;P1;00000101010010011011111110;Done;
14;P2;00000101010010011011111110;Done;
15;C;10110111110001000111000000;Creating SARIMAX;
16;F1;10110111110001000111000000;Before fitting;
17;F2;10110111110001000111000000;After fitting;0.5623379000000028
18;P1;10110111110001000111000000;Done;
19;P2;10110111110001000111000000;Done;
20;C;00000000111111001101001100;Creating SARIMAX;
21;F1;00000000111111001101001100;Before fitting;
22;F2;00000000111111001101001100;After fitting;2.2610865999999987
23;P1;00000000111111001101001100;Done;
24;P2;00000000111111001101001100;Done;
25;C;10010101010000100000101110;Creating SARIMAX;
26;F1;10010101010000100000101110;Before fitting;
27;F2;10010101010000100000101110;After fitting;0.4781533999999965
28;P1;10010101010000100000101110;Done;
29;P2;10010101010000100000101110;Done;
30;C;01000000111111010010101000;Creating SARIMAX;
31;F1;01000000111111010010101000;Before fitting;
32;F2;01000000111111010010101000;After fitting;0.19919960000000003
33;P1;01000000111111010010101000;Done;
34;P2;01000000111111010010101000;Done;
35;C;01011001110001110010010011;Creating SARIMAX;
36;F1;01011001110001110010010011;Before fitting;
37;F2;01011001110001110010010011;After fitting;0.31400809999999524
38;P1;01011001110001110010010011;Done;
39;P2;01011001110001110010010011;Done;
40;C;10110011101111100000011010;Creating SARIMAX;
41;F1;10110011101111100000011010;Before fitting;
42;F2;10110011101111100000011010;After fitting;2.545044500000003
43;P1;10110011101111100000011010;Done;
44;P2;10110011101111100000011010;Done;
45;C;11001011010011011011111101;Creating SARIMAX;
46;F1;11001011010011011011111101;Before fitting;
47;F2;11001011010011011011111101;After fitting;4.154982199999992
48;P1;11001011010011011011111101;Done;
49;P2;11001011010011011011111101;Done;
50;C;11001110101001111000011110;Creating SARIMAX;
51;F1;11001110101001111000011110;Before fitting;
52;F2;11001110101001111000011110;After fitting;6.980668199999997
53;P1;11001110101001111000011110;Done;
54;P2;11001110101001111000011110;Done;
55;C;01001110001101000010110001;Creating SARIMAX;
56;F1;01001110001101000010110001;Before fitting;
57;F2;01001110001101000010110001;After fitting;0.365619499999994
58;P1;01001110001101000010110001;Done;
59;P2;01001110001101000010110001;Done;
60;C;00000110100111011001001011;Creating SARIMAX;
61;F1;00000110100111011001001011;Before fitting;
62;F2;00000110100111011001001011;After fitting;0.45943750000000705
63;P1;00000110100111011001001011;Done;
64;P2;00000110100111011001001011;Done;
65;C;01101111010001011010010001;Creating SARIMAX;
66;F1;01101111010001011010010001;Before fitting;
67;F2;01101111010001011010010001;After fitting;0.18989189999999212
68;P1;01101111010001011010010001;Done;
69;P2;01101111010001011010010001;Done;
70;C;10110100101010100010011100;Creating SARIMAX;
71;F1;10110100101010100010011100;Before fitting;
72;F2;10110100101010100010011100;After fitting;6.759053900000012
73;P1;10110100101010100010011100;Done;
74;P2;10110100101010100010011100;Done;
75;C;11011000101110110000011110;Creating SARIMAX;
76;F1;11011000101110110000011110;Before fitting;
77;F2;11011000101110110000011110;After fitting;2.868252499999997
78;P1;11011000101110110000011110;Done;
79;P2;11011000101110110000011110;Done;
80;C;11000101110111110110010010;Creating SARIMAX;
81;F1;11000101110111110110010010;Before fitting;
82;F2;11000101110111110110010010;After fitting;1.609974600000001
83;P1;11000101110111110110010010;Done;
84;P2;11000101110111110110010010;Done;
85;C;11101000011110000110101010;Creating SARIMAX;
86;F1;11101000011110000110101010;Before fitting;
87;F2;11101000011110000110101010;After fitting;2.7007785999999925
88;P1;11101000011110000110101010;Done;
89;P2;11101000011110000110101010;Done;
90;C;01010100011110001001111010;Creating SARIMAX;
91;F1;01010100011110001001111010;Before fitting;
92;F2;01010100011110001001111010;After fitting;1.4828383999999915
93;P1;01010100011110001001111010;Done;
94;P2;01010100011110001001111010;Done;
95;C;10111111001111100110001101;Creating SARIMAX;
96;F1;10111111001111100110001101;Before fitting;
97;F2;10111111001111100110001101;After fitting;11.8859602
98;P1;10111111001111100110001101;Done;
99;P2;10111111001111100110001101;Done;
100;C;00110110010101010100100000;Creating SARIMAX;
101;F1;00110110010101010100100000;Before fitting;
102;F2;00110110010101010100100000;After fitting;0.15910120000000916
103;P1;00110110010101010100100000;Done;
104;P2;00110110010101010100100000;Done;
105;C;01011001000110011100111000;Creating SARIMAX;
106;F1;01011001000110011100111000;Before fitting;
107;F2;01011001000110011100111000;After fitting;0.1096323999999953
108;P1;01011001000110011100111000;Done;
109;P2;01011001000110011100111000;Done;
110;C;10110110001100001001111101;Creating SARIMAX;
111;F1;10110110001100001001111101;Before fitting;
112;F2;10110110001100001001111101;After fitting;16.51748049999999
113;P1;10110110001100001001111101;Done;
114;P2;10110110001100001001111101;Done;
115;C;01010101001110101011101000;Creating SARIMAX;
116;F1;01010101001110101011101000;Before fitting;
117;F2;01010101001110101011101000;After fitting;0.2134463000000153
118;P1;01010101001110101011101000;Done;
119;P2;01010101001110101011101000;Done;
120;C;10010010101111100000110100;Creating SARIMAX;
121;F1;10010010101111100000110100;Before fitting;
122;F2;10010010101111100000110100;After fitting;18.439330499999983
123;P1;10010010101111100000110100;Done;
124;P2;10010010101111100000110100;Done;
125;C;01111110000001010000010101;Creating SARIMAX;
126;F1;01111110000001010000010101;Before fitting;
127;F2;01111110000001010000010101;After fitting;2.105598299999997
128;P1;01111110000001010000010101;Done;
129;P2;01111110000001010000010101;Done;
130;C;01111010001001000000010101;Creating SARIMAX;
131;F1;01111010001001000000010101;Before fitting;
132;F2;01111010001001000000010101;After fitting;3.2262784000000124
133;P1;01111010001001000000010101;Done;
134;P2;01111010001001000000010101;Done;
135;C;01111010011001000000010101;Creating SARIMAX;
136;F1;01111010011001000000010101;Before fitting;
137;F2;01111010011001000000010101;After fitting;3.162116800000007
138;P1;01111010011001000000010101;Done;
139;P2;01111010011001000000010101;Done;
140;C;01111010011001000000010101;Creating SARIMAX;
141;F1;01111010011001000000010101;Before fitting;
142;F2;01111010011001000000010101;After fitting;3.0766361000000018
143;P1;01111010011001000000010101;Done;
144;P2;01111010011001000000010101;Done;
145;C;00111010011001000000010101;Creating SARIMAX;
146;F1;00111010011001000000010101;Before fitting;
147;F2;00111010011001000000010101;After fitting;2.464621099999988
148;P1;00111010011001000000010101;Done;
149;P2;00111010011001000000010101;Done;
150;C;01111010011001000000010101;Creating SARIMAX;
151;F1;01111010011001000000010101;Before fitting;
152;F2;01111010011001000000010101;After fitting;3.0726257999999973
153;P1;01111010011001000000010101;Done;
154;P2;01111010011001000000010101;Done;
